station_id,name,lat,lon
7000,Fort York  Blvd / Capreol Ct,43.639832,-79.395954
7001,Wellesley Station Green P,43.66496415990742,-79.38355031526893
7002,St. George St / Bloor St W,43.667333,-79.399429
7003,Madison Ave / Bloor St W,43.667158,-79.402761
7004,University Ave / Elm St,43.656518,-79.389099
7005,King St W / York St,43.6480008,-79.383177
7006,Bay St / College St (East Side),43.660439,-79.385525
7007,College St / Huron St,43.658148,-79.398167
7008,Wellesley St / Queen's Park Cres,43.663376,-79.392125
7009,King St E / Jarvis St,43.650325,-79.372287
7010,King St W / Spadina Ave,43.645323,-79.395003
7011,Wellington St W / Portland St,43.642982,-79.399256
7012,Elizabeth St / Edward St (Bus Terminal),43.656026,-79.385327
7013,Scott St / The Esplanade,43.64656,-79.375274
7014,Sherbourne St / Carlton St (Allan Gardens),43.663102,-79.373181
7015,King St W / Bay St (West Side),43.64852,-79.380576
7016,Bay St / Queens Quay W (Ferry Terminal),43.640978,-79.376785
7017,Widmer St / Adelaide St W,43.6475076,-79.3914841
7018,Bremner Blvd / Rees St,43.641529,-79.386741
7019,Temperance St. Station,43.6507021,-79.3800546
7020,Phoebe St / Spadina Ave,43.650033,-79.396555
7021,Bay St / Albert St,43.653264,-79.382458
7022,Simcoe St / Queen St W,43.65049,-79.3873
7023,College St / Borden St,43.6571,-79.4056
7024,Dundonald St / Church St,43.66663,-79.38148
7025,Ted Rogers Way / Bloor St E,43.671293,-79.380471
7026,Bay St / St. Joseph St,43.665527,-79.387499
7027,Beverley  St / Dundas St W,43.652823,-79.393388
7028,Gould St / Mutual St,43.6582,-79.3768
7029,Bay St / Bloor St W (East Side),43.66943,-79.38915
7030,Bay St / Wellesley St W,43.664088,-79.387095
7031,Jarvis St / Isabella St,43.668991,-79.379385
7032,Augusta Ave / Dundas St W,43.652473,-79.401456
7033,Union Station,43.645609,-79.380386
7034,Church St / Bloor St E,43.671389,-79.382919
7035,Queen St W / Ossington Ave,43.643975,-79.419576
7036,Trinity St /Front St E,43.651318,-79.36023
7037,Bathurst St / Dundas St W,43.6523,-79.4058
7038,Dundas St W / Yonge St,43.656094,-79.381484
7039,Simcoe St / Michael Sweet Ave,43.652327224103,-79.3882538196087
7040,Euclid Ave / Bloor St W,43.664467,-79.414783
7041,Edward St / Yonge St,43.656729,-79.382736
7042,Sherbourne St / Wellesley St E,43.6673,-79.374
7043,Queens Quay W / Lower Simcoe St,43.63951,-79.383717
